"Apellido","Nombre","Distrito","IniciaMandato","FinalizaMandato","Bloque"
"Marziotta","Gisela","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Masin","María Lucila","CHACO","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Massetani","Vanesa Laura","SANTA FE","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Mastaler","Magalí","SANTA FE","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Milei","Javier Gerardo","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","LA LIBERTAD AVANZA"
"Milman","Gerardo","BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Mirabella","Roberto","SANTA FE","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Moisés","María Carolina","JUJUY","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Monti","Francisco","CATAMARCA","10/12/2021","09/12/2025","UCR"
"Montoto","María Luisa","SANTIAGO DEL ESTERO","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Monzó","Emilio","BUENOS AIRES","10/12/2021","09/12/2025","ENCUENTRO FEDERAL"
"Morales Gorleri","Victoria","CIUDAD DE BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Moran","Micaela","BUENOS AIRES","12/10/2022","09/12/2025","FRENTE DE TODOS"
"Moreau","Cecilia","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Moreau","Leopoldo","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Moyano","Nilda","SANTIAGO DEL ESTERO","16/12/2021","09/12/2025","FRENTE DE TODOS"
"Nanni","Miguel","SALTA","10/12/2019","09/12/2023","UCR"
"Navarro","Graciela","SANTIAGO DEL ESTERO","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Neder","Estela Mary","SANTIAGO DEL ESTERO","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Negri","Mario Raúl","CORDOBA","10/12/2019","09/12/2023","UCR"
"Nieri","Lisandro","MENDOZA","16/12/2021","09/12/2023","UCR"
"Nuñez","José Carlos","SANTA FE","10/12/2019","09/12/2023","PRO"
"Obeid","Alejandra del Huerto","SANTA FE","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Ocaña","Graciela","BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Oliveto Lago","Paula","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","COALICIÓN CÍVICA"
"Omodeo","Paula","TUCUMAN","10/12/2021","09/12/2025","CREO"
"Ormachea","Claudia Beatriz","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Orrego","Humberto Marcelo","SAN JUAN","10/12/2019","09/12/2023","PRODUCCION Y TRABAJO"
"Osuna","Blanca Inés","ENTRE RIOS","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Palazzo","Sergio Omar","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Paponet","Liliana","MENDOZA","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Parola","María Graciela","FORMOSA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Passo","Marcela Fabiana","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Pedrali","Gabriela","LA RIOJA","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Pedrini","Juan Manuel","CHACO","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Penacca","Paula Andrea","CIUDAD DE BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Pereyra","Julio","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Pérez Araujo","Hernán","LA PAMPA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Perez Plaza","Eber Albano","MENDOZA","27/03/2021","09/12/2023","FRENTE DE TODOS"
"Píparo","Carolina","BUENOS AIRES","10/12/2021","09/12/2025","Buenos Aires Libre"
"Poggi","Claudio Javier","SAN LUIS","10/12/2021","09/12/2025","AVANZAR SAN LUIS"
"Polini","Juan Carlos","CHACO","10/12/2021","09/12/2025","UCR"
"Ponce","Carlos Ybrhain","SAN LUIS","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Propato","Agustina Lucrecia","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Quetglas","Fabio José","BUENOS AIRES","10/12/2021","09/12/2025","UCR"
"Quiroz","Marilú","CHACO","10/12/2021","09/12/2025","PRO"
"Randazzo","Florencio","BUENOS AIRES","10/12/2021","09/12/2025","IDENTIDAD BONAERENSE"
"Rey","María Luján","BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Reyes","Roxana","SANTA CRUZ","10/12/2021","09/12/2025","UCR"
"Rezinovsky","Dina","CIUDAD DE BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Ritondo","Cristian Adrián","BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Rizzotti","Jorge","JUJUY","10/12/2019","09/12/2023","UCR"
"Rodríguez","Alejandro "Topo"","BUENOS AIRES","10/12/2019","09/12/2023","IDENTIDAD BONAERENSE"
"Rodríguez Machado","Laura","CORDOBA","10/12/2021","09/12/2025","PRO"
"Romero","Jorge Antonio","CORRIENTES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Romero","Victor Hugo","CORDOBA","10/12/2019","09/12/2023","UCR"
"Romero","Ana Clara","CHUBUT","10/12/2021","09/12/2025","PRO"
"Ruarte","Adriana Noemí","CORDOBA","10/12/2019","09/12/2023","PRO"
"Salvador","Sebastián Nicolás","BUENOS AIRES","10/12/2019","09/12/2023","UCR"
"Sánchez","Roberto Antonio","TUCUMAN","10/12/2021","09/12/2025","UCR"
"Sanchez","Francisco","NEUQUEN","10/12/2019","09/12/2023","PRO"
"Sand","Nancy","CORRIENTES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Santilli","Diego","BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Santoro","Leandro","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Santos","Gustavo","CORDOBA","10/12/2021","09/12/2025","PRO"
"Sarapura","Natalia Silvina","JUJUY","13/06/2023","09/12/2025","UCR"
"Sartori","Diego Horacio","MISIONES","10/12/2019","09/12/2023","FRENTE DE LA CONCORDIA MISIONERO"
"Schiavoni","Alfredo Oscar","MISIONES","10/12/2019","09/12/2023","PRO"
"Selva","Carlos Américo","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Siley","Vanesa Raquel","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Sotolano","María","BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Souto","Natalia Marcela","BUENOS AIRES","26/10/2021","09/12/2023","FRENTE DE TODOS"
"Stefani","Héctor Antonio","TIERRA DEL FUEGO","10/12/2021","09/12/2025","PRO"
"Stilman","Mariana","BUENOS AIRES","10/12/2019","09/12/2023","COALICIÓN CÍVICA"
"Stolbizer","Margarita","BUENOS AIRES","10/12/2021","09/12/2025","ENCUENTRO FEDERAL"
"Taccetta","Matias","CHUBUT","16/12/2021","09/12/2023","PRO"
"Tailhade","Rodolfo","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Tavela","Danya","BUENOS AIRES","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Tejeda","María Victoria","SANTA FE","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Tetaz","Martin Alberto","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Tonelli","Pablo Gabriel","CIUDAD DE BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Toniolli","Eduardo","SANTA FE","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Torello","Pablo","BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Tortoriello","Anibal","RIO NEGRO","10/12/2021","09/12/2025","PRO"
"Uceda","Marisa Lourdes","MENDOZA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Valdes","Eduardo Félix","CIUDAD DE BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Vara","Jorge","CORRIENTES","10/12/2019","09/12/2023","UCR"
"Vargas Matyi","Brenda","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Verasay","Pamela Fernanda","MENDOZA","10/12/2021","09/12/2025","UCR"
"Verón","Jorge Guillermo","SANTA CRUZ","11/02/2021","09/12/2023","FRENTE DE TODOS"
"Vessvessian","Paola","SANTA CRUZ","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Vidal","María Eugenia","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Vidal","Claudio Orlando","SANTA CRUZ","10/12/2021","09/12/2025","SER - SOMOS ENERGIA PARA RENOVAR"
"Vilca","Alejandro","JUJUY","10/12/2021","09/12/2025","PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD"
"Villarruel","Victoria","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","LA LIBERTAD AVANZA"
"Yacobitti","Emiliano Benjamín","CIUDAD DE BUENOS AIRES","10/12/2019","09/12/2023","EVOLUCION RADICAL"
"Yambrún","Liliana Patricia","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Yapor","Lucio","BUENOS AIRES","26/10/2021","09/12/2023","FRENTE DE TODOS"
"Yasky","Hugo","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Yutrovic","Carolina","TIERRA DEL FUEGO","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Zabala Chacur","Natalia","SAN LUIS","21/12/2021","09/12/2025","FRENTE DE TODOS"
"Zapata","Carlos Raúl","SALTA","10/12/2021","09/12/2025","AHORA PATRIA"
"Zaracho","Natalia","BUENOS AIRES","16/12/2021","09/12/2023","FRENTE DE TODOS"
"Zuvic","Mariana","CIUDAD DE BUENOS AIRES","10/12/2019","09/12/2023","COALICIÓN CÍVICA"
